=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_3_digits.csv
Test Dimension (k): 143 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.122374
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 614.181524
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 1.69 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 739             | Original Mean y_bar:    10.00 | Fitted Prob p_tilde: 0.098568 | Sample Size n: 20
Prime: 743             | Original Mean y_bar:     4.40 | Fitted Prob p_tilde: 0.098568 | Sample Size n: 20
Prime: 751             | Original Mean y_bar:     7.40 | Fitted Prob p_tilde: 0.098568 | Sample Size n: 20
Prime: 757             | Original Mean y_bar:     5.95 | Fitted Prob p_tilde: 0.098568 | Sample Size n: 20
Prime: 761             | Original Mean y_bar:     7.85 | Fitted Prob p_tilde: 0.098568 | Sample Size n: 20
Prime: 769             | Original Mean y_bar:    11.10 | Fitted Prob p_tilde: 0.098568 | Sample Size n: 20
Prime: 773             | Original Mean y_bar:     6.90 | Fitted Prob p_tilde: 0.098568 | Sample Size n: 20
Prime: 787             | Original Mean y_bar:     8.85 | Fitted Prob p_tilde: 0.098568 | Sample Size n: 20
Prime: 797             | Original Mean y_bar:     7.35 | Fitted Prob p_tilde: 0.098568 | Sample Size n: 20
Prime: 809             | Original Mean y_bar:    10.20 | Fitted Prob p_tilde: 0.098568 | Sample Size n: 20
Prime: 811             | Original Mean y_bar:     5.15 | Fitted Prob p_tilde: 0.098568 | Sample Size n: 20
Prime: 821             | Original Mean y_bar:    10.85 | Fitted Prob p_tilde: 0.092166 | Sample Size n: 20
Prime: 823             | Original Mean y_bar:    15.60 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 827             | Original Mean y_bar:    33.45 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 829             | Original Mean y_bar:    18.90 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 839             | Original Mean y_bar:    19.65 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 853             | Original Mean y_bar:    15.95 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 857             | Original Mean y_bar:    18.35 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 859             | Original Mean y_bar:     6.35 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 863             | Original Mean y_bar:    12.85 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
