=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_4_digits.csv
Test Dimension (k): 1061 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.052137
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 3726.665061
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 4.42 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 2281            | Original Mean y_bar:     8.85 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2287            | Original Mean y_bar:     6.90 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2293            | Original Mean y_bar:     4.80 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2297            | Original Mean y_bar:     8.20 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2309            | Original Mean y_bar:     6.15 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2311            | Original Mean y_bar:    10.45 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2333            | Original Mean y_bar:     5.40 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2339            | Original Mean y_bar:     5.50 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2341            | Original Mean y_bar:     6.55 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2347            | Original Mean y_bar:    12.55 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2351            | Original Mean y_bar:     8.50 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2357            | Original Mean y_bar:    13.05 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2371            | Original Mean y_bar:     5.95 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2377            | Original Mean y_bar:    12.95 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2381            | Original Mean y_bar:     8.55 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2383            | Original Mean y_bar:     6.75 | Fitted Prob p_tilde: 0.092313 | Sample Size n: 20
Prime: 2389            | Original Mean y_bar:    13.90 | Fitted Prob p_tilde: 0.080000 | Sample Size n: 20
Prime: 2393            | Original Mean y_bar:    11.10 | Fitted Prob p_tilde: 0.080000 | Sample Size n: 20
Prime: 2399            | Original Mean y_bar:    19.15 | Fitted Prob p_tilde: 0.052219 | Sample Size n: 20
Prime: 2411            | Original Mean y_bar:    48.10 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2417            | Original Mean y_bar:    87.35 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2423            | Original Mean y_bar:    53.65 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2437            | Original Mean y_bar:    51.95 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2441            | Original Mean y_bar:    42.90 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2447            | Original Mean y_bar:    32.25 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2459            | Original Mean y_bar:    52.75 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2467            | Original Mean y_bar:    15.15 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2473            | Original Mean y_bar:    22.05 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2477            | Original Mean y_bar:    17.50 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2503            | Original Mean y_bar:    12.10 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2521            | Original Mean y_bar:    12.50 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2531            | Original Mean y_bar:    33.05 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2539            | Original Mean y_bar:     6.70 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2543            | Original Mean y_bar:    15.55 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2549            | Original Mean y_bar:    19.35 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2551            | Original Mean y_bar:    12.40 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2557            | Original Mean y_bar:    15.40 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2579            | Original Mean y_bar:    20.05 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2591            | Original Mean y_bar:    32.30 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2593            | Original Mean y_bar:    13.50 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2609            | Original Mean y_bar:    15.85 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2617            | Original Mean y_bar:    12.45 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2621            | Original Mean y_bar:    13.35 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2633            | Original Mean y_bar:    17.25 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2647            | Original Mean y_bar:    14.25 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2657            | Original Mean y_bar:    13.15 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2659            | Original Mean y_bar:    28.20 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2663            | Original Mean y_bar:    16.70 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2671            | Original Mean y_bar:    36.85 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2677            | Original Mean y_bar:    31.55 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2683            | Original Mean y_bar:    28.05 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2687            | Original Mean y_bar:    70.25 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2689            | Original Mean y_bar:    56.90 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2693            | Original Mean y_bar:    23.85 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2699            | Original Mean y_bar:    42.45 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2707            | Original Mean y_bar:    41.95 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2711            | Original Mean y_bar:    24.60 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2713            | Original Mean y_bar:    33.60 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2719            | Original Mean y_bar:    16.15 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2729            | Original Mean y_bar:    20.10 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2731            | Original Mean y_bar:    21.75 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2741            | Original Mean y_bar:    24.50 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2749            | Original Mean y_bar:    21.65 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
Prime: 2753            | Original Mean y_bar:    29.75 | Fitted Prob p_tilde: 0.047659 | Sample Size n: 20
