=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_7_digits.csv
Test Dimension (k): 5012 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.001881
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 15262.362535
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 16.68 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 1134961         | Original Mean y_bar:   227.10 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1139623         | Original Mean y_bar:   329.40 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1141417         | Original Mean y_bar:   204.75 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1141853         | Original Mean y_bar:   356.70 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1148261         | Original Mean y_bar:   485.55 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1154233         | Original Mean y_bar:   268.45 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1157063         | Original Mean y_bar:   313.15 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1157851         | Original Mean y_bar:   303.85 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1158247         | Original Mean y_bar:   180.90 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1158401         | Original Mean y_bar:   481.25 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1161217         | Original Mean y_bar:   335.00 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1163119         | Original Mean y_bar:   237.40 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1167013         | Original Mean y_bar:   418.30 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1169023         | Original Mean y_bar:   319.55 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1170461         | Original Mean y_bar:   358.55 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1170751         | Original Mean y_bar:   408.20 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1172491         | Original Mean y_bar:   140.95 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1177667         | Original Mean y_bar:   166.75 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1179047         | Original Mean y_bar:   274.75 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1179251         | Original Mean y_bar:   170.25 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1182463         | Original Mean y_bar:   320.85 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1185181         | Original Mean y_bar:   358.35 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1188553         | Original Mean y_bar:   270.00 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1189021         | Original Mean y_bar:   226.30 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1190929         | Original Mean y_bar:   342.50 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1192651         | Original Mean y_bar:   262.80 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1192967         | Original Mean y_bar:   289.75 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1193431         | Original Mean y_bar:   256.70 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1193483         | Original Mean y_bar:   332.25 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1195039         | Original Mean y_bar:   166.40 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1195459         | Original Mean y_bar:   225.30 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1195721         | Original Mean y_bar:   297.80 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1195741         | Original Mean y_bar:   105.05 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1201843         | Original Mean y_bar:   281.40 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1204711         | Original Mean y_bar:   134.10 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1207043         | Original Mean y_bar:   219.00 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1210597         | Original Mean y_bar:   367.30 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1213063         | Original Mean y_bar:   384.25 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1214957         | Original Mean y_bar:   403.85 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1216591         | Original Mean y_bar:   141.20 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1220623         | Original Mean y_bar:   135.40 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1221391         | Original Mean y_bar:   371.30 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1223863         | Original Mean y_bar:   523.60 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1224637         | Original Mean y_bar:   456.95 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1225621         | Original Mean y_bar:   412.65 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1225927         | Original Mean y_bar:   427.35 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1227881         | Original Mean y_bar:   157.75 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1232461         | Original Mean y_bar:   395.20 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1233301         | Original Mean y_bar:   240.50 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1233539         | Original Mean y_bar:   206.95 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1234721         | Original Mean y_bar:   507.10 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1238893         | Original Mean y_bar:   575.10 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1240991         | Original Mean y_bar:   211.15 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1244083         | Original Mean y_bar:   275.00 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1244437         | Original Mean y_bar:   240.95 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1244567         | Original Mean y_bar:   561.30 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1247243         | Original Mean y_bar:   363.20 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1252079         | Original Mean y_bar:   234.45 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
