=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_6_digits.csv
Test Dimension (k): 8060 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.006153
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 25152.250511
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 25.98 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 107971          | Original Mean y_bar:    46.55 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 107981          | Original Mean y_bar:    66.75 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 107999          | Original Mean y_bar:    47.90 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 108007          | Original Mean y_bar:    70.50 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 108131          | Original Mean y_bar:    66.70 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 108347          | Original Mean y_bar:    99.60 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 108379          | Original Mean y_bar:    44.05 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 108457          | Original Mean y_bar:    77.20 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 108533          | Original Mean y_bar:   105.20 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 108709          | Original Mean y_bar:    49.70 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 108793          | Original Mean y_bar:    63.75 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 108943          | Original Mean y_bar:    59.40 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 109211          | Original Mean y_bar:    94.30 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 109537          | Original Mean y_bar:    97.50 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 109589          | Original Mean y_bar:    98.15 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 109661          | Original Mean y_bar:   125.35 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 109663          | Original Mean y_bar:    49.50 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 109859          | Original Mean y_bar:    83.40 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 109883          | Original Mean y_bar:    57.30 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 110051          | Original Mean y_bar:    78.50 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 110083          | Original Mean y_bar:    72.60 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 110281          | Original Mean y_bar:    46.35 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 110311          | Original Mean y_bar:    34.85 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 110459          | Original Mean y_bar:    31.10 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 110533          | Original Mean y_bar:    81.90 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 110567          | Original Mean y_bar:    35.15 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 110681          | Original Mean y_bar:    48.80 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 110771          | Original Mean y_bar:    29.20 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 111031          | Original Mean y_bar:    37.55 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 111049          | Original Mean y_bar:    45.60 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 111187          | Original Mean y_bar:    48.15 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 111317          | Original Mean y_bar:   117.70 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 111491          | Original Mean y_bar:    95.50 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 111623          | Original Mean y_bar:    67.50 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 111767          | Original Mean y_bar:    81.30 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 111781          | Original Mean y_bar:   132.10 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 111827          | Original Mean y_bar:    52.10 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 111847          | Original Mean y_bar:    51.95 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 111857          | Original Mean y_bar:   100.30 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 111869          | Original Mean y_bar:   166.60 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 111919          | Original Mean y_bar:    63.60 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 111949          | Original Mean y_bar:   127.55 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 112019          | Original Mean y_bar:    57.80 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 112339          | Original Mean y_bar:    63.20 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 112397          | Original Mean y_bar:    56.65 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 112601          | Original Mean y_bar:    98.60 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 112663          | Original Mean y_bar:    68.10 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 112901          | Original Mean y_bar:    80.40 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 113021          | Original Mean y_bar:    61.75 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 113027          | Original Mean y_bar:    49.15 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 113111          | Original Mean y_bar:    35.45 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 113117          | Original Mean y_bar:    61.45 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 113153          | Original Mean y_bar:    92.55 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 113161          | Original Mean y_bar:   126.15 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 113177          | Original Mean y_bar:    76.00 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 113371          | Original Mean y_bar:    32.60 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 113437          | Original Mean y_bar:    90.45 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 113647          | Original Mean y_bar:    59.25 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 113761          | Original Mean y_bar:   111.50 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 113909          | Original Mean y_bar:    78.40 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 113989          | Original Mean y_bar:   214.05 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 114001          | Original Mean y_bar:    91.80 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 114067          | Original Mean y_bar:    60.40 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 114089          | Original Mean y_bar:    67.75 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 114143          | Original Mean y_bar:    70.10 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 114217          | Original Mean y_bar:    61.45 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 114641          | Original Mean y_bar:    47.85 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 114661          | Original Mean y_bar:    66.90 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 114691          | Original Mean y_bar:    31.05 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 114713          | Original Mean y_bar:    58.40 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 114757          | Original Mean y_bar:    70.50 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 114761          | Original Mean y_bar:    76.40 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 114859          | Original Mean y_bar:    66.65 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 114901          | Original Mean y_bar:    30.20 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 114913          | Original Mean y_bar:    38.35 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 115123          | Original Mean y_bar:    42.30 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 115163          | Original Mean y_bar:    67.40 | Fitted Prob p_tilde: 0.013051 | Sample Size n: 20
Prime: 115301          | Original Mean y_bar:    83.70 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 115663          | Original Mean y_bar:   122.05 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 115741          | Original Mean y_bar:    89.50 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 115771          | Original Mean y_bar:    84.30 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 115783          | Original Mean y_bar:    70.90 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 115807          | Original Mean y_bar:   101.00 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 115811          | Original Mean y_bar:    85.15 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 115823          | Original Mean y_bar:   112.00 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 115853          | Original Mean y_bar:   148.75 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 115859          | Original Mean y_bar:    61.05 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 115879          | Original Mean y_bar:    83.45 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 115891          | Original Mean y_bar:    64.50 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 116089          | Original Mean y_bar:   140.40 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 116141          | Original Mean y_bar:    75.30 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 116273          | Original Mean y_bar:    95.70 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 116387          | Original Mean y_bar:    41.90 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 116437          | Original Mean y_bar:    59.10 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 116461          | Original Mean y_bar:    83.90 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 116491          | Original Mean y_bar:    80.70 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 116593          | Original Mean y_bar:    75.30 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 116731          | Original Mean y_bar:    85.85 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 116791          | Original Mean y_bar:    55.35 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 116819          | Original Mean y_bar:    59.80 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 116881          | Original Mean y_bar:    94.35 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 116969          | Original Mean y_bar:   112.90 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 117041          | Original Mean y_bar:    88.80 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 117193          | Original Mean y_bar:    78.55 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 117353          | Original Mean y_bar:    59.00 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 117427          | Original Mean y_bar:    71.35 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 117503          | Original Mean y_bar:   139.65 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 117539          | Original Mean y_bar:    75.75 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 117541          | Original Mean y_bar:   170.95 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 117571          | Original Mean y_bar:   117.55 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 117751          | Original Mean y_bar:    48.75 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 117779          | Original Mean y_bar:    61.95 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 117797          | Original Mean y_bar:   116.95 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 117809          | Original Mean y_bar:   102.35 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 117883          | Original Mean y_bar:    47.05 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 117911          | Original Mean y_bar:    53.85 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 118033          | Original Mean y_bar:    98.35 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 118423          | Original Mean y_bar:    67.35 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 118589          | Original Mean y_bar:   109.40 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 118661          | Original Mean y_bar:    69.35 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 118709          | Original Mean y_bar:    54.60 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 118739          | Original Mean y_bar:    64.75 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 118747          | Original Mean y_bar:    65.80 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 118873          | Original Mean y_bar:    60.10 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 119131          | Original Mean y_bar:   111.00 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 119549          | Original Mean y_bar:   131.95 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 119677          | Original Mean y_bar:    77.20 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 119689          | Original Mean y_bar:    87.60 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 119827          | Original Mean y_bar:    31.05 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 119953          | Original Mean y_bar:    66.60 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 120067          | Original Mean y_bar:    84.55 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 120157          | Original Mean y_bar:    95.00 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
