=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_11_digits.csv
Test Dimension (k): 3103 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000019
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 4623.424234
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 10.59 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 14085155569     | Original Mean y_bar: 18268.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14211215267     | Original Mean y_bar: 19925.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14227829573     | Original Mean y_bar: 22349.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14256039961     | Original Mean y_bar:  6406.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14270303291     | Original Mean y_bar: 13999.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14279715773     | Original Mean y_bar: 17246.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14305049597     | Original Mean y_bar:  6490.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14336606341     | Original Mean y_bar: 22055.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14380454597     | Original Mean y_bar: 22245.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14425220741     | Original Mean y_bar: 14824.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14449248887     | Original Mean y_bar: 10526.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14453682179     | Original Mean y_bar: 13474.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14460880739     | Original Mean y_bar: 24763.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14478398723     | Original Mean y_bar: 13711.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14479708519     | Original Mean y_bar: 15569.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14497059217     | Original Mean y_bar: 45735.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14551776517     | Original Mean y_bar: 15703.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14574332791     | Original Mean y_bar:  8238.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14590860217     | Original Mean y_bar: 17739.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14684485253     | Original Mean y_bar: 24674.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14702294023     | Original Mean y_bar: 13253.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14709452551     | Original Mean y_bar: 11404.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14712563081     | Original Mean y_bar:  8515.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14768996323     | Original Mean y_bar: 10657.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14782012549     | Original Mean y_bar: 21944.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14794626463     | Original Mean y_bar: 11942.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14849437417     | Original Mean y_bar: 25504.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14863718669     | Original Mean y_bar:  7504.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14887880717     | Original Mean y_bar: 24317.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14901036223     | Original Mean y_bar: 41778.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14997026483     | Original Mean y_bar:  9371.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 14998169293     | Original Mean y_bar: 32814.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15070881611     | Original Mean y_bar: 22645.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15085376701     | Original Mean y_bar: 19908.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15093916583     | Original Mean y_bar: 18161.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15115798391     | Original Mean y_bar: 16241.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15150362609     | Original Mean y_bar: 24630.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15174003329     | Original Mean y_bar: 17116.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15178196833     | Original Mean y_bar: 49600.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15179681893     | Original Mean y_bar: 28647.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15183192097     | Original Mean y_bar: 17236.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15187254811     | Original Mean y_bar:  6592.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15225010831     | Original Mean y_bar: 14281.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15236026499     | Original Mean y_bar:  9961.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15349969163     | Original Mean y_bar:  6892.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15354368207     | Original Mean y_bar:  5058.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15385925987     | Original Mean y_bar: 16765.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15409901237     | Original Mean y_bar: 14755.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15415032407     | Original Mean y_bar: 15081.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15452355619     | Original Mean y_bar: 17354.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15469318903     | Original Mean y_bar: 22412.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15497162347     | Original Mean y_bar: 11901.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15502963963     | Original Mean y_bar: 12650.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15519800423     | Original Mean y_bar: 15405.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15547635827     | Original Mean y_bar: 19808.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15550589281     | Original Mean y_bar: 41150.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15572228767     | Original Mean y_bar:  7071.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15572957377     | Original Mean y_bar: 27087.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15578906363     | Original Mean y_bar: 14760.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15579696389     | Original Mean y_bar: 22601.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15594024731     | Original Mean y_bar: 10186.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15620549339     | Original Mean y_bar: 20032.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15657864401     | Original Mean y_bar: 16194.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15663126373     | Original Mean y_bar:  8452.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15774719341     | Original Mean y_bar: 41933.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15777046361     | Original Mean y_bar: 15994.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15782453021     | Original Mean y_bar: 27678.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15834726359     | Original Mean y_bar:  7113.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15840704851     | Original Mean y_bar: 15967.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15941824663     | Original Mean y_bar: 17865.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15950599279     | Original Mean y_bar:  9672.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 15970350043     | Original Mean y_bar: 14050.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 16000036369     | Original Mean y_bar: 26823.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 16021319471     | Original Mean y_bar: 13419.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 16025188349     | Original Mean y_bar: 28238.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 16031058187     | Original Mean y_bar: 10008.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 16060683787     | Original Mean y_bar: 15226.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 16080333079     | Original Mean y_bar: 17106.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 16089861379     | Original Mean y_bar: 13768.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 16091726503     | Original Mean y_bar: 17264.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 16111191373     | Original Mean y_bar: 14735.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
Prime: 16138311103     | Original Mean y_bar: 16736.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 5
