=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_10_digits.csv
Test Dimension (k): 3484 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000061
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 5269.921079
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 11.96 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 1311237953      | Original Mean y_bar:  5877.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1321255081      | Original Mean y_bar:  2417.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1323169193      | Original Mean y_bar: 13577.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1323339907      | Original Mean y_bar: 12792.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1329373583      | Original Mean y_bar: 10437.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1333337153      | Original Mean y_bar: 41747.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1338192257      | Original Mean y_bar: 11249.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1338279209      | Original Mean y_bar: 14696.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1340849611      | Original Mean y_bar: 11256.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1342443341      | Original Mean y_bar:  7610.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1342478993      | Original Mean y_bar: 14132.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1343548541      | Original Mean y_bar: 18741.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1345507393      | Original Mean y_bar: 10364.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1346277743      | Original Mean y_bar: 25763.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1348761173      | Original Mean y_bar:  4151.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1349365687      | Original Mean y_bar:  7930.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
