prime,A,x0,trials,param_a_count,class_number
11595266321,999241413,9062572960,15862,3,78560
11606556331,9947756655,5483817603,21430,3,66496
11606556331,2623031453,9715197981,5716,3,34248
11606556331,9691383612,286858220,975,3,64400
11606556331,8369419980,3116764988,2674,3,64400
11606556331,7844538550,7365699038,4152,3,64400
11651916929,10609923877,1485567181,71552,3,53760
11651916929,11240774024,6435312681,47755,3,58624
11651916929,7970302137,7439993616,6769,3,58624
11651916929,5881964619,4434622487,7955,3,58624
11651916929,4324475227,6540764733,2368,3,58624
11677006007,3691927369,8610441851,21314,4,121590
11677006007,2903198193,1582370209,6018,4,121590
11677006007,6639555343,3163652972,2808,4,121590
11677006007,9372227349,5739885217,561,4,121590
11677006007,7192311452,701445221,2385,4,121590
11707593461,10724731616,2421328850,5024,3,94240
11707593461,7976306106,10457428248,6585,3,94240
11707593461,6591827011,7909179577,43434,3,94240
11707593461,11201314989,11406529986,39663,3,27920
11707593461,11463822945,5216650676,37537,3,94240
11715943171,11670860215,705010024,1848,4,52704
11715943171,3442480141,5573387903,15008,4,28992
11715943171,5032602796,1288824622,2409,4,18528
11715943171,11613805799,2086234391,19718,4,18528
11715943171,10854623889,5124064678,5534,4,18528
11798580721,9395431509,2299967997,1144,3,60216
11798580721,643156290,6801914838,1581,3,60216
11798580721,1669827248,6959782511,51664,3,47104
11798580721,5880013853,10705806569,4642,3,54784
11798580721,8668182121,11748562992,10750,3,60216
11844211097,10868793884,2432108248,10241,3,139428
11844211097,5800150021,1616103620,36715,3,139428
11844211097,8717382076,5249158134,25967,3,49440
11844211097,8592694926,136674326,31117,3,49440
11844211097,5190001379,8030636612,712,3,139428
11887300939,9349206540,6534138161,345,3,43038
11887300939,8448044671,6654424968,16364,3,60192
11887300939,2479243433,4441849457,932,3,54432
11887300939,608235047,8169977931,5664,3,43038
11887300939,9629375433,1549624306,10808,3,54432
11948527379,10437069494,7036013429,8503,3,88064
11948527379,11163546292,699570492,2868,3,72252
11948527379,2852422740,561382716,7788,3,72252
11948527379,8006920683,402276986,48695,3,72252
11948527379,768035818,213915005,14770,3,72252
11960380697,10428378409,3280466687,6369,4,50320
11960380697,7268867409,2999070595,25395,4,19828
11960380697,8169558254,1876784890,6057,4,50320
11960380697,5559174009,140113911,140133,4,19828
11960380697,8801784297,5620322827,28297,4,63164
11982004613,4995955476,6630864410,10826,4,107112
11982004613,3587312149,4640290743,534,4,26684
11982004613,5807018628,10597667582,29911,4,107112
11982004613,10488188389,3220798539,21245,4,107112
11982004613,9931540089,4473493437,6645,4,107112
12202611649,8155237306,4645199831,51186,4,55808
12202611649,1444274672,2888545189,18953,4,55936
12202611649,5793832659,11919589072,11439,4,33408
12202611649,9611339115,1853310768,201,4,55808
12202611649,4868277072,6269742075,10495,4,33408
12220920329,10480628011,11225448275,23,3,54464
12220920329,3770832640,854706383,8470,3,54464
12220920329,8538442752,2719148620,115142,3,75424
12220920329,3271284814,921024456,14144,3,75424
12220920329,5756660980,1857972571,105724,3,75424
12268103719,3958920402,6414408555,41917,3,63248
12268103719,249155330,8173701004,83084,3,43240
12268103719,10981405571,2608765418,8000,3,42672
12268103719,3691476577,4049706856,27952,3,42672
12268103719,6397198892,6431168946,49830,3,42672
12298474157,709325551,2979256257,42763,3,86824
12298474157,6408882487,5856009941,78252,3,32480
12298474157,4959133643,271953385,1205,3,86824
12298474157,5232497569,1925545793,8973,3,86824
12298474157,4256785271,1036944467,56908,3,86824
12348128719,3719906432,10605465715,11819,3,33360
12348128719,7885162251,8441313657,1241,3,69224
12348128719,11942490410,11859376572,20069,3,69224
12348128719,5227833434,3856554365,3856,3,69224
12348128719,4075403557,9969581617,31067,3,33360
12435038633,8682659207,4520591312,5455,3,103536
12435038633,4598813210,5719174692,33313,3,103536
12435038633,143086506,10433799374,12541,3,103536
12435038633,2390010737,4201195539,35104,3,103536
12435038633,9087342178,8301705531,15263,3,103536
12437015663,4446997248,1647129049,6671,3,51688
12437015663,3609160450,7078984128,15810,3,33835
12437015663,4080487825,10379837380,22482,3,78964
12437015663,11423096123,12116429927,1727,3,51688
12437015663,6311711440,3408840851,4547,3,33835
12464096399,10255031786,3668049594,8606,4,76302
12464096399,8990091776,8289403330,6097,4,46840
12464096399,4953360271,8902471074,487,4,27012
12464096399,2487524472,3525726512,7012,4,27012
12464096399,4168153488,9968437084,7614,4,76302
12469087159,5628168569,3346389501,23441,4,75264
12469087159,6964876640,545909273,6405,4,75264
12469087159,3622628482,4615855452,2845,4,75264
12469087159,7157527602,5127708816,21406,4,75264
12469087159,1389781604,4281988958,17457,4,75264
12516086381,5608291778,12249127339,35068,3,85464
12516086381,10915734771,8926861564,8110,3,58416
12516086381,4673580977,4046429052,63741,3,42252
12516086381,5957516634,2876154241,20399,3,58416
12516086381,8478252299,10762969118,17994,3,85464
12525562897,11120301565,8806230199,1164,4,74768
12525562897,9124919267,2599565242,16178,4,74768
12525562897,10805446660,7264672162,19778,4,40736
12525562897,8102329830,11844596080,11415,4,74768
12525562897,11104020353,8747694635,41567,4,30304
12553087367,9484948370,5922385865,22130,4,87319
12553087367,5407734311,11398280082,20791,4,18662
12553087367,1993191702,8263963905,18956,4,87319
12553087367,5420576068,9837521471,9359,4,87319
12553087367,10781519151,12480234700,3883,4,18662
12563404661,9071999394,3798058717,42409,3,75312
12563404661,9998777221,4527027871,39037,3,54992
12563404661,6397589860,2687346888,4830,3,54992
12563404661,3045981928,3808770757,858,3,71560
12563404661,280405383,10299745114,12850,3,54992
12586975987,5601629171,8629713591,17258,3,48936
12586975987,2969379247,5014271100,2030,3,52992
12586975987,10899553065,2807741567,7043,3,52992
12586975987,11146129308,1086167015,17567,3,52992
12586975987,2691635363,5549976647,27980,3,52992
12639050029,7579149260,4391345658,10989,4,54272
12639050029,5601561871,6351995992,39687,4,51184
12639050029,6738635632,3037672603,52533,4,54272
12639050029,6346597648,1490154501,19142,4,31320
12639050029,6479806674,11103538068,11877,4,54272
12706360889,2495994767,4860539114,29943,3,54832
12706360889,4769756941,8977101065,74432,3,94080
12706360889,1890229963,7616839920,1612,3,94080
12706360889,9719520582,476824840,29342,3,43088
12706360889,7700173723,4801730021,1382,3,94080
12812543417,8177343729,4099046222,11780,3,61280
12812543417,1109086197,10214600377,14604,3,61280
12812543417,7895915730,4248220797,15673,3,61280
12812543417,5105018115,2233158423,25927,3,61280
12812543417,998348552,12597702438,9376,3,61280
12928769837,1201234912,8760459548,14917,4,52410
12928769837,7659655967,7035996950,6186,4,60424
12928769837,6925311152,8808682637,16048,4,60424
12928769837,916570017,12336074657,13545,4,52410
12928769837,8630748344,9743930910,24722,4,55840
12964997761,2661655098,11385543222,27639,3,119808
12964997761,1641937740,2468701053,34754,3,65024
12964997761,4562950726,2523420914,40809,3,31744
12964997761,6609195007,3086075455,25570,3,65024
12964997761,6009688574,1346363571,27098,3,65024
12981374699,4192342575,2810968804,25230,3,61981
