prime,A,x0,trials,param_a_count,class_number
10224329,6836990,6196250,560,3,4368
10224329,87693,1958615,85,3,4368
10224329,126628,6831675,862,3,4368
10224329,7404646,2074149,269,3,4368
10224329,5937006,9201050,98,3,952
10224329,3585436,2329733,261,3,4368
10224329,2955714,7629825,16,3,4368
10224329,10205887,9329851,243,3,4368
10224329,6183626,9873030,5,3,4368
10224329,2689762,4924423,661,3,4368
10224329,5783647,10209017,154,3,4368
10224329,3562098,2580460,322,3,4368
10224329,4400476,7118143,12,3,4368
10224329,8602718,4793854,143,3,4368
10224329,1014649,9601095,20,3,4368
10224329,4690301,5290751,655,3,4368
10224329,6621262,415178,125,3,4368
10224329,5245183,9366251,368,3,4368
10224329,2857701,658542,2203,3,4368
10224329,7851123,1467893,176,3,4368
10242769,6504464,7047535,3291,3,2368
10242769,3590941,8758010,612,3,1056
10242769,876197,9726336,762,3,2368
10242769,4476065,5009473,409,3,1056
10242769,6871607,1356816,457,3,2368
10242769,9332801,2853270,1107,3,2368
10242769,454285,2960464,118,3,2368
10242769,1369850,8660774,45,3,1056
10242769,318204,7690111,692,3,2368
10242769,3722596,764512,675,3,2368
10242769,2415145,8378305,1062,3,800
10242769,1702668,3309771,391,3,2368
10242769,2533899,6920792,435,3,2368
10242769,963875,4534844,1116,3,2368
10242769,7506428,2432623,408,3,2368
10242769,5449400,3916760,291,3,800
10242769,6217789,8971166,455,3,800
10242769,9127145,1609042,729,3,1056
10242769,197044,1668478,532,3,2368
10242769,2743949,6044188,1197,3,2368
10257937,463127,1386016,619,3,760
10257937,7506834,4149445,253,3,736
10257937,1891296,7491413,102,3,1728
10257937,4482683,2451803,1351,3,1728
10257937,9355432,8820771,879,3,1728
10257937,5551609,2683610,3316,3,1728
10257937,909860,3004723,989,3,760
10257937,5201981,3476445,254,3,760
10257937,4453482,6770237,1282,3,1728
10257937,7073951,9901622,947,3,760
10257937,3669202,6783903,2459,3,1728
10257937,2649073,3011782,2103,3,736
10257937,7259453,8161530,332,3,1728
10257937,9593249,7411077,1075,3,760
10257937,2644601,6316874,1613,3,760
10257937,9700027,8746336,1186,3,760
10257937,5594376,3091519,973,3,736
10257937,8661726,3940998,424,3,760
10257937,7841969,9729106,1417,3,1728
10257937,6058256,2609262,1344,3,1728
10260917,2629553,3086787,801,3,810
10260917,8529660,5167511,757,3,5320
10260917,3238251,1290415,1771,3,5320
10260917,8393302,4512738,1237,3,810
10260917,4346173,9348140,628,3,1896
10260917,6703964,608545,472,3,1896
10260917,6416525,2474401,716,3,5320
10260917,5413324,7234901,54,3,5320
10260917,7396355,34517,1761,3,810
10260917,2118294,5173850,329,3,810
10260917,2447671,6986590,483,3,810
10260917,6413945,4040019,392,3,810
10260917,6785415,5475889,635,3,1896
10260917,1794930,4502241,1044,3,5320
10260917,8328447,5529580,1200,3,5320
10260917,8931054,2473722,169,3,1896
10260917,4290185,8089867,28,3,5320
10260917,7966582,4690123,279,3,5320
10260917,455282,8898216,307,3,5320
10260917,6519376,3612499,300,3,1896
10310137,2598944,5150332,536,3,1448
