prime,A,x0,trials,param_a_count,class_number
1024379,546025,19775,12,2,632
1024379,829882,37041,13,2,761
1024379,580959,794475,167,2,761
1024379,248959,324416,27,2,761
1024379,100337,888724,238,2,761
1024379,314076,868939,138,2,761
1024379,768817,535980,150,2,632
1024379,521862,780063,200,2,761
1024379,624713,543374,63,2,761
1024379,182129,763595,393,2,761
1024379,550038,141872,484,2,761
1024379,372822,877636,90,2,761
1026761,265147,1004277,51,2,572
1026761,405624,84380,662,2,572
1026761,415511,722262,1085,2,232
1026761,576360,74235,205,2,232
1026761,322449,705073,217,2,232
1026761,960970,889159,190,2,572
1026761,2843,630359,937,2,232
1026761,229972,34425,534,2,572
1026761,140446,926296,505,2,572
1026761,633287,833241,672,2,572
1026761,229187,1025081,90,2,232
1026761,38951,279576,235,2,572
1026761,215087,805705,124,2,572
1026761,680897,396757,58,2,232
1026761,352018,965880,797,2,572
1026761,840373,649254,547,2,232
1026761,1021983,651651,603,2,232
1026761,929705,950273,684,2,232
1026761,1017345,37713,212,2,232
1026761,516052,185764,43,2,232
1027853,783376,832572,243,2,344
1027853,886520,832418,571,2,324
1027853,726696,83967,491,2,344
1027853,369903,578699,42,2,324
1027853,647006,591314,150,2,324
1027853,558662,482536,63,2,324
1027853,335396,919333,165,2,344
1027853,886226,767792,654,2,344
1027853,979380,499200,1935,2,324
1027853,247470,478045,895,2,344
1027853,959548,483036,1796,2,324
1027853,107922,46191,1389,2,344
1027853,159547,109855,914,2,344
1027853,241510,1018922,569,2,344
1027853,329363,581744,1365,2,344
1027853,794052,280426,1377,2,344
1027853,250500,620502,1194,2,344
1027853,829423,544903,931,2,344
1027853,586858,528818,627,2,344
1027853,742579,335492,524,2,344
1028597,17474,665273,217,2,240
1028597,311707,510037,22,2,512
1028597,542991,449446,6,2,512
1028597,616286,225990,7,2,240
1028597,208458,896674,171,2,512
1028597,371500,434530,45,2,512
1028597,777101,274307,261,2,512
1028597,944824,141242,607,2,512
1028597,503660,999776,211,2,512
1028597,363004,567498,85,2,512
1028597,150050,365782,351,2,240
1028597,977032,326241,588,2,512
1028597,464044,568749,73,2,240
1028597,898551,475632,73,2,240
1028597,615920,625944,123,2,512
1028597,772516,302356,441,2,240
1028597,485067,279734,141,2,512
1028597,967592,792793,905,2,512
1028597,418711,882957,1222,2,512
1028597,666199,81515,422,2,512
1028843,50584,700056,1182,2,467
1028843,737574,532631,1759,2,467
1028843,715842,269681,114,2,352
1028843,754951,805718,68,2,467
1028843,903690,230009,38,2,467
1028843,124168,365118,82,2,467
1028843,193768,546932,328,2,352
1028843,282481,440310,332,2,467
1028843,692107,328678,81,2,467
1028843,557753,113056,599,2,467
1028843,230279,425437,166,2,352
1028843,852551,674258,511,2,467
1028843,151428,920731,153,2,467
1028843,623378,739325,36,2,467
1028843,262138,115600,171,2,352
1028843,134357,500188,116,2,352
1028843,78599,997340,415,2,467
1028843,886960,1019662,355,2,467
1028843,494045,1024735,324,2,352
1028843,247535,829386,6,2,467
1033007,41545,60296,11,2,1038
1033007,1006529,606711,79,2,1038
1033007,586287,383202,21,2,1038
1033007,603040,380087,151,2,1038
1033007,784094,837327,1,2,1038
1033007,322764,405057,68,2,1038
1033007,858877,165370,579,2,1038
1033007,633184,757925,50,2,1038
1033007,517981,832860,438,2,1038
1033007,9509,96931,73,2,1038
1033007,678091,1010414,398,2,538
1033007,430206,114010,27,2,1038
1033007,747139,622244,111,2,1038
1033007,8348,218346,1,2,1038
1033007,230204,878141,88,2,1038
1033007,518579,964742,104,2,1038
1033007,77914,427030,24,2,1038
1033007,978770,968320,140,2,538
1033007,416226,795243,148,2,1038
1033007,705338,196142,154,2,538
1033421,435109,923102,230,2,1216
1033421,870147,560488,20,2,1216
1033421,863085,822463,5,2,1216
1033421,133510,991806,615,2,1216
1033421,911790,786967,133,2,1216
1033421,285566,1025101,511,2,288
1033421,155111,1005420,227,2,1216
1033421,272000,642847,125,2,1216
1033421,744416,383710,273,2,1216
1033421,270643,298843,73,2,1216
1033421,780622,1023406,94,2,1216
1033421,263940,55954,36,2,1216
1033421,484469,143804,99,2,1216
1033421,760739,495548,15,2,288
1033421,817941,743176,111,2,1216
1033421,150544,302621,14,2,1216
1033421,417359,583517,45,2,1216
1033421,989776,368610,60,2,1216
1033421,249416,195719,286,2,1216
