prime,A,x0,trials
501947,255893,137243,1363
433,343,391,6
8539,2931,430,26
109,7,50,25
239,181,95,14
1979,1240,1302,21
967,210,781,6
46489,39689,16512,72
251,48,3,5
7717,1908,1555,12
42787,41599,42042,7
941,166,523,13
61637,1807,41705,90
659,403,613,14
863833,183448,549529,547
58601,28737,28899,203
10253,10235,10184,9
509,94,64,2
821,499,343,1
7331,4014,722,64
30341,28173,13354,136
359,70,120,7
8419,1536,3086,81
66733,24660,2590,91
56383,35592,134,34
8563,4929,3144,27
920743,110119,389978,482
185699,159210,81047,327
48437,46526,35019,42
113,47,49,5
223,208,154,5
47237,8615,38413,143
1481,194,73,28
189389,67040,17493,120
290041,48250,125188,140
313,3,74,2
6353,825,2958,21
61487,50080,59342,184
643691,610986,389643,713
1747,814,351,43
677323,97806,465319,888
12157,9269,3812,58
64663,56721,22549,19
547,489,319,24
617,243,344,48
197,30,160,28
36277,18500,13327,173
827,433,132,60
589021,23097,170943,210
4937,2899,466,72
613,307,484,13
149,39,121,15
733,376,439,6
5479,2633,2621,197
547,489,319,24
2207,2193,851,39
38557,352,26322,184
691,33,68,27
619,478,279,11
421,408,123,4
190271,171725,1941,63
317,133,229,3
6337,5947,2640,40
585283,275782,240008,444
855857,382341,610610,2779
883,265,406,10
433,343,391,6
49667,49579,18982,99
271,162,94,3
19763,5351,5498,178
479,203,120,3
7639,4548,3106,25
7487,3951,3121,81
42359,10616,31135,67
10853,10678,8632,103
68927,8658,19543,134
937,817,634,26
787,131,418,6
967,210,781,6
35509,19127,6385,40
114661,112528,103065,246
800171,481547,202443,170
4957,2078,2082,64
97861,68961,5930,121
557,23,125,56
997,248,985,20
136483,5226,21104,363
101,62,35,70
239,181,95,14
293,246,283,21
138247,102620,23447,555
797,775,196,27
312601,9946,161524,369
389,350,196,27
30671,29020,15087,138
1913,37,1117,27
10247,7060,9596,14
2141,1539,1453,5
7723,1208,6717,4
4759,2666,4070,120
85333,65390,49469,223
5641,1096,5271,3
179,111,40,1
7457,5732,6484,237
191,FAILED,FAILED,FAILED
563,553,353,34
80107,43039,30049,121
73477,70526,40528,10
743,331,707,3
6961,4516,6002,37
9277,3362,6511,11
6311,3059,1079,274
211,157,146,24
727,313,628,58
87943,85219,11259,239
3463,839,2921,124
5939,634,3521,83
74827,73673,44588,573
131149,39803,72819,20
499,170,362,5
7757,3978,7405,9
941,166,523,13
518047,298456,430209,161
8387,8269,7200,15
283,144,9,9
6047,3166,5619,22
870031,595123,275338,159
345679,144103,183930,806
379,278,147,10
12073,10266,1873,149
423601,376020,58047,2739
3181,1737,2931,210
80207,74066,11875,97
4441,194,3149,21
27449,8374,6707,210
223,208,154,5
320851,115604,55711,389
102533,30330,33239,605
523,64,79,18
401,62,175,11
7103,623,5516,127
8867,6436,5327,6
479,203,120,3
7993,7660,5068,44
5279,2119,116,87
1201,689,920,24
367,220,141,47
131,88,16,8
19421,16302,18113,152
881,130,704,298
663541,178825,258076,133
107,19,67,6
1597,993,612,29
6599,4340,1514,43
787,131,418,6
146719,137683,47164,351
6577,3028,5503,43
823,812,580,38
883,265,406,10
1871,1508,884,39
1381,755,782,17
6271,3145,2708,5
383,63,59,53
853,365,255,69
563,553,353,34
4019,62,1725,39
3863,2446,2558,26
9173,1369,6611,12
357779,80050,208166,1449
863,550,715,15
617,243,344,48
807197,282039,702535,410
2333,61,904,3
179,111,40,1
2447,1744,1338,33
2671,2607,1875,139
46051,37037,38170,172
997,248,985,20
547,489,319,24
739,301,88,38
81019,6113,40124,276
470161,29685,183397,461
347,118,132,28
6779,3103,2710,116
66751,56210,47723,467
919,254,593,44
8867,6436,5327,6
28759,25710,9982,133
6301,3160,3068,216
311,271,44,18
677,161,28,116
661,511,169,36
3217,749,2521,103
39521,29035,6240,223
89087,23468,40543,183
679597,463325,599803,543
401,62,175,11
7573,5123,2603,48
221827,210220,29846,34
269,120,39,2
131,88,16,8
490111,479089,138675,1346
421,408,123,4
4951,1508,3316,17
379,278,147,10
8171,4218,7011,14
421,408,123,4
46073,37973,37179,424
277,18,26,25
919,254,593,44
12409,6840,997,30
9049,8024,4422,99
281,128,37,14
74567,62457,36303,1640
1979,1240,1302,21
62801,26838,30160,406
5657,2906,4655,77
3697,1607,1997,60
331,18,106,91
503,205,462,1
44491,37311,11548,263
32027,24439,25859,2
761,77,189,35
94993,83525,34108,214
541,438,105,10
872671,48306,379098,358
85909,15994,33539,27
719839,274048,201765,376
6203,2205,5522,24
317983,93089,245625,30
5437,3309,4351,32
11321,1540,9672,4
191,FAILED,FAILED,FAILED
134353,44363,54701,198
677,161,28,116
313,3,74,2
317,133,229,3
463,240,333,7
9151,4064,3918,72
