prime,A,x0,trials
773,451,409,2
773,472,707,4
773,95,585,1
773,63,15,2
773,745,269,9
773,58,577,8
773,229,589,6
1433,546,693,37
1433,1031,40,12
1433,505,621,7
1433,1257,998,11
1433,1155,763,28
1433,546,1294,1
1433,1352,312,35
1433,1394,377,16
1433,216,12,11
1433,456,759,32
1433,757,932,74
1433,464,1336,10
1433,757,1281,4
1433,1217,1148,2
1433,1375,437,20
1433,806,262,23
1433,1372,1104,1
1433,278,1036,18
1433,1189,558,11
1433,61,21,16
1433,1018,840,11
1433,1332,479,3
1433,521,1387,8
1433,627,70,52
1433,81,876,29
1433,1018,224,10
1433,969,881,12
1433,505,735,1
1433,1373,1305,13
1433,505,650,3
1433,1358,1210,19
1433,1313,422,43
1433,654,75,8
1433,81,880,2
1433,912,91,4
1433,732,1020,22
1433,75,938,43
1433,1155,1328,11
1433,1018,923,70
1433,216,752,64
1433,148,1402,48
1433,1332,999,58
1433,546,655,5
1433,1295,316,8
1433,1155,397,2
1433,779,1186,6
1433,191,281,9
1433,61,1109,33
1433,668,795,7
1433,1257,6,63
1433,1129,957,3
1433,398,307,12
1433,398,429,40
1433,278,826,13
1433,58,311,59
1433,176,964,4
1433,191,428,9
1433,805,368,14
1433,806,476,7
1433,1285,41,24
1433,668,1249,16
1433,885,1337,3
1433,912,859,9
1433,1031,1223,88
1433,676,365,17
1433,1242,651,50
1433,722,330,16
1433,1242,1005,17
1433,1031,1044,12
1433,606,1050,1
1433,58,992,2
1433,244,181,9
1433,1295,1016,9
1433,191,559,15
1433,765,733,8
1433,977,816,15
1433,39,1056,55
1433,1035,1014,25
1433,1375,599,17
1433,708,768,19
1433,505,141,2
1433,535,784,2
1433,468,189,58
1433,523,1303,5
1433,1394,707,22
1433,120,58,1
1433,81,75,13
1433,1353,1048,2
1433,887,139,25
1433,523,1056,25
1433,805,571,7
1433,827,366,23
1433,725,449,26
1433,1242,981,18
1433,39,263,9
1433,464,1359,14
1433,468,489,4
1433,456,273,5
1433,138,1257,9
1433,1051,164,8
1709,1681,580,17
1709,1221,608,8
1709,1110,1378,47
1709,656,356,1
1709,243,126,3
1709,935,1026,3
1709,243,972,12
1709,270,82,20
1709,1704,864,4
1709,1096,444,3
1709,488,385,7
1709,1332,431,14
1709,899,1073,15
1709,187,963,7
1709,1348,151,2
1709,203,1038,30
1709,312,1020,1
1709,940,597,10
1709,3,352,21
1709,223,1617,63
1709,1145,1228,1
1709,774,967,5
1709,264,1402,2
1709,1110,20,8
1709,1682,1112,11
1709,1288,725,33
1709,1241,750,19
1709,1235,689,20
1709,1110,285,2
1709,71,1230,29
1709,382,188,23
1709,15,1491,1
1709,203,587,20
1709,599,769,18
1709,270,396,1
1709,1557,711,25
1709,755,1463,10
1709,1681,158,9
1709,1327,1624,24
1709,1586,1519,40
1709,1529,1285,25
1709,532,876,16
1709,330,1069,14
1709,1241,1320,11
1709,1529,1007,8
1709,564,469,8
1709,1486,1549,12
1709,755,428,3
1709,1379,1259,4
1709,330,306,9
1709,1053,1512,1
1709,1288,1676,1
1709,935,554,13
1709,954,570,72
1709,1535,1497,24
1709,200,1118,4
1709,468,922,24
1709,1116,1664,8
1709,71,1647,8
1709,899,761,5
1709,678,352,2
1709,101,490,5
1709,15,101,4
1709,1506,184,1
1709,1327,1172,37
1709,550,1300,3
1709,488,1092,2
1709,1608,1203,15
1709,15,1074,21
1709,1682,122,1
1709,304,398,22
1709,1522,131,55
1709,1509,1352,7
1709,304,896,19
1709,1424,725,8
1709,152,654,23
1709,3,203,6
1709,1509,491,10
1709,434,854,4
1709,263,1006,5
1709,1078,734,10
1709,593,1194,24
1709,1288,41,7
1709,174,1022,4
1709,593,753,12
1709,1682,1428,1
1709,1156,606,9
1709,868,1366,15
1709,593,152,15
1709,203,1479,12
1709,1275,1707,2
1709,263,681,14
1709,432,1263,5
1709,532,1264,4
1709,550,111,1
1709,243,288,20
1709,1031,895,23
1709,223,972,15
1709,1267,1113,7
1709,550,978,8
1861,997,462,14
1861,1085,319,23
1861,82,905,13
1861,1741,1439,13
1861,896,114,26
1861,781,426,1
1861,1387,625,1
1861,353,1085,10
1861,939,600,3
1861,1686,1206,1
1861,1814,187,8
1861,1325,1456,10
1861,1493,764,5
1861,962,1820,11
1861,1689,345,1
1861,1493,874,3
1861,989,497,5
1861,412,1335,8
1861,1407,1432,12
1861,243,1830,7
1861,669,696,7
1861,741,722,5
1861,479,1277,5
1861,365,1593,13
1861,997,1371,3
1861,1444,1433,9
1861,674,928,8
1861,1689,1688,26
1861,412,1445,3
1861,1077,1257,9
1861,245,500,1
1861,591,1665,1
1861,1852,1054,10
1861,423,103,9
1861,1298,1740,6
1861,554,140,4
1861,368,855,1
1861,140,35,3
1861,1827,572,16
1861,368,1219,16
1861,1304,1638,3
1861,965,1329,16
1861,822,1418,12
1861,822,91,11
1861,302,985,25
1861,150,92,15
1861,822,1291,1
1861,545,1129,8
1861,392,819,8
1861,1852,1221,1
1861,172,686,10
1861,917,501,22
1861,904,77,7
1861,1192,426,15
1861,1837,297,7
1861,143,1063,2
1861,1814,513,11
1861,1354,1497,13
1861,1444,554,10
1861,1491,1054,12
1861,1148,561,2
1861,1512,1222,2
1861,1120,857,2
1861,1368,1197,1
1861,989,1150,9
1861,1481,540,21
1861,1148,44,17
1861,1558,3,20
1861,1741,1741,4
1861,1410,1420,5
1861,1837,70,2
1861,1748,213,5
1861,563,1447,10
1861,150,1629,3
1861,454,308,19
1861,370,1439,2
1861,1623,1839,1
1861,1843,1426,6
1861,311,1378,9
1861,365,868,5
1861,1233,1708,2
1861,1748,1790,5
1861,392,1483,10
1861,1244,818,1
1861,273,355,2
1861,82,271,41
1861,1077,1088,6
1861,880,1434,4
1861,365,644,5
1861,1508,177,2
1861,1649,1361,8
1861,1735,1199,2
1861,1750,130,48
1861,490,1421,9
1861,3,445,8
1861,1325,230,1
1861,917,188,2
1861,126,185,11
1861,194,1369,3
1861,110,187,8
2711,1942,2244,90
2711,126,340,2
2711,1513,1406,9
2711,2044,1025,22
2711,1468,1094,9
2711,1655,2420,1
2711,1638,1919,60
2711,1310,1484,7
2711,527,1548,14
2711,534,1617,30
2711,855,516,30
2711,1236,1225,1
2711,804,828,27
2711,764,1338,26
2711,2085,193,1
2711,1907,2013,13
2711,1979,823,108
2711,1221,808,30
2711,2456,483,15
2711,1221,51,49
2711,1979,1438,23
2711,1468,228,5
2711,1038,702,13
2711,1929,2332,39
2711,948,1424,19
2711,1781,827,21
2711,1947,1469,18
2711,626,997,6
2711,527,1192,15
2711,1929,152,6
2711,2311,1522,16
2711,2024,1227,12
2711,667,2270,13
2711,1290,1072,2
2711,312,2534,3
2711,1018,2273,43
2711,2255,334,15
2711,1468,1730,5
2711,1266,1576,18
2711,1290,980,48
2711,534,1486,12
2711,2044,2163,48
2711,1574,1874,12
2711,764,1159,8
2711,667,165,3
2711,1401,327,15
2711,1776,2151,17
2711,72,2438,21
2711,999,70,4
2711,1198,1096,20
2711,72,528,32
2711,1735,583,11
2711,435,598,20
2711,764,546,3
2711,1513,1522,32
2711,2235,574,48
2711,813,2236,24
2711,1673,1261,7
2711,510,872,10
2711,1164,2671,45
2711,1856,1754,117
2711,782,1100,50
2711,1929,684,10
2711,1947,2674,12
2711,400,1980,24
2711,855,1813,37
2711,1468,500,21
2711,956,2160,2
2711,769,2117,33
2711,687,2384,2
2711,2201,949,17
2711,456,2367,18
2711,2585,756,35
2711,1350,2096,84
2711,1755,88,3
2711,976,93,48
2711,2510,1327,29
2711,1056,1696,47
2711,1137,837,9
2711,1755,372,74
2711,2024,1379,47
2711,976,53,11
2711,510,1966,1
2711,935,1726,59
2711,948,1969,31
2711,435,1501,3
2711,1942,594,16
2711,312,2415,17
2711,2639,1038,2
2711,1073,1330,28
2711,2201,1737,23
2711,2235,1233,26
2711,1266,2410,49
2711,1907,1711,68
2711,948,1461,5
2711,2235,2029,14
2711,976,435,15
2711,1056,1750,26
2711,1266,1912,3
2711,1574,2579,108
3527,2212,435,13
3527,17,1665,5
3527,1212,3344,12
3527,247,2515,18
3527,673,3319,21
3527,3045,516,1
3527,3054,2664,14
3527,703,760,11
3527,1062,1787,26
3527,1871,3353,15
3527,523,2779,2
3527,2313,1287,5
3527,1496,458,2
3527,2854,1025,38
3527,1816,756,16
3527,1739,1670,6
3527,1204,2156,1
3527,2194,2098,23
3527,1098,3074,3
3527,2925,1236,8
3527,846,460,38
3527,2673,3457,58
3527,94,753,1
3527,2786,2976,2
3527,1817,2789,5
3527,371,1115,6
3527,1655,100,60
3527,2916,872,41
3527,1315,2481,1
3527,2744,3154,8
3527,3156,2777,2
3527,3051,1565,6
3527,1394,108,6
3527,3310,1208,1
3527,476,2914,23
3527,217,2319,7
