=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_11_digits.csv
Test Dimension (k): 3103 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000019
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 8950.196898
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 10.89 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 13072733411     | Original Mean y_bar: 11960.90 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13081514189     | Original Mean y_bar: 11520.75 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13081748983     | Original Mean y_bar: 24018.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13089235519     | Original Mean y_bar: 16029.95 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13128284789     | Original Mean y_bar: 16461.30 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13142082817     | Original Mean y_bar: 36949.30 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13156394393     | Original Mean y_bar: 13164.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13175580401     | Original Mean y_bar: 33516.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13198440251     | Original Mean y_bar: 14880.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13199107069     | Original Mean y_bar: 14211.10 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13225529137     | Original Mean y_bar: 19354.50 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13262653189     | Original Mean y_bar: 34996.10 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13323338381     | Original Mean y_bar: 25728.70 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13370154029     | Original Mean y_bar: 24711.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13408651163     | Original Mean y_bar: 12010.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13409355991     | Original Mean y_bar: 11161.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13410060127     | Original Mean y_bar: 16190.30 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13428418307     | Original Mean y_bar: 11466.30 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13532775521     | Original Mean y_bar: 14991.55 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13561823537     | Original Mean y_bar: 28284.50 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13603991881     | Original Mean y_bar: 13676.10 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13616629721     | Original Mean y_bar:  9741.65 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13624029467     | Original Mean y_bar: 17872.90 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13658739499     | Original Mean y_bar: 18125.30 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13676240387     | Original Mean y_bar: 18014.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13712457347     | Original Mean y_bar: 21543.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13756713991     | Original Mean y_bar: 15092.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13803289319     | Original Mean y_bar: 22671.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13918978651     | Original Mean y_bar: 17213.75 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13940775509     | Original Mean y_bar: 17952.50 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13951569889     | Original Mean y_bar: 31098.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13957725667     | Original Mean y_bar:  4957.05 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 13994935291     | Original Mean y_bar: 17701.50 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14010709571     | Original Mean y_bar: 14175.15 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14015641309     | Original Mean y_bar: 14820.30 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14055835531     | Original Mean y_bar: 13148.15 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14059713449     | Original Mean y_bar: 17930.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14077303379     | Original Mean y_bar: 15250.95 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14084897591     | Original Mean y_bar: 17242.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14085155569     | Original Mean y_bar: 20978.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14211215267     | Original Mean y_bar: 16369.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14227829573     | Original Mean y_bar: 30634.05 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14256039961     | Original Mean y_bar: 15851.85 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14270303291     | Original Mean y_bar: 22006.50 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14279715773     | Original Mean y_bar: 22677.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14305049597     | Original Mean y_bar:  9952.45 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14336606341     | Original Mean y_bar: 23973.85 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14380454597     | Original Mean y_bar: 22919.70 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14425220741     | Original Mean y_bar: 16539.55 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14449248887     | Original Mean y_bar: 14885.30 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14453682179     | Original Mean y_bar: 20196.80 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14460880739     | Original Mean y_bar: 24000.60 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14478398723     | Original Mean y_bar: 15980.25 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14479708519     | Original Mean y_bar: 12217.55 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
