=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_8_digits.csv
Test Dimension (k): 4360 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000583
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 13761.300940
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 14.84 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 11983211        | Original Mean y_bar:   594.40 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11988853        | Original Mean y_bar:   673.40 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12018023        | Original Mean y_bar:   625.45 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12080503        | Original Mean y_bar:   329.00 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12102859        | Original Mean y_bar:   471.90 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12171529        | Original Mean y_bar:   673.15 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12212939        | Original Mean y_bar:   513.50 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12218329        | Original Mean y_bar:   955.90 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12224297        | Original Mean y_bar:   893.15 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12238403        | Original Mean y_bar:   305.75 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12259957        | Original Mean y_bar:   857.75 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12270691        | Original Mean y_bar:   490.80 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12315671        | Original Mean y_bar:   203.65 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12321241        | Original Mean y_bar:   452.95 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12338869        | Original Mean y_bar:   577.40 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12350699        | Original Mean y_bar:   475.80 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12351289        | Original Mean y_bar:   387.00 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12357577        | Original Mean y_bar:   642.00 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12376927        | Original Mean y_bar:   589.40 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12394367        | Original Mean y_bar:   426.55 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12397909        | Original Mean y_bar:  1184.30 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12408871        | Original Mean y_bar:   594.00 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12451787        | Original Mean y_bar:   960.50 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12478933        | Original Mean y_bar:   661.25 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12486571        | Original Mean y_bar:   517.35 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12487543        | Original Mean y_bar:   479.85 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
