=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_12_digits.csv
Test Dimension (k): 2861 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000007
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 4293.334346
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 9.43 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 142543845359    | Original Mean y_bar: 31018.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 142716723563    | Original Mean y_bar: 76170.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 143110989491    | Original Mean y_bar: 104215.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 143296279201    | Original Mean y_bar: 137219.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 143902998593    | Original Mean y_bar: 74822.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 144682383449    | Original Mean y_bar: 33186.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 145525947761    | Original Mean y_bar: 48147.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 145912838411    | Original Mean y_bar: 64370.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 146715088067    | Original Mean y_bar: 52303.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 146939068603    | Original Mean y_bar: 110889.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 147184444349    | Original Mean y_bar: 83397.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 147906726467    | Original Mean y_bar: 43957.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 148323251303    | Original Mean y_bar: 70898.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 148351021277    | Original Mean y_bar: 35255.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
