=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_10_digits.csv
Test Dimension (k): 3484 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000061
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 10764.210731
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 12.04 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 1279523317      | Original Mean y_bar:  5332.30 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1279637939      | Original Mean y_bar: 11635.65 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1280934313      | Original Mean y_bar: 17157.70 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1280990657      | Original Mean y_bar: 18181.85 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1281285997      | Original Mean y_bar:  9018.65 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1282288067      | Original Mean y_bar:  3873.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1286232149      | Original Mean y_bar: 14870.50 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1286424511      | Original Mean y_bar:  5291.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1290580061      | Original Mean y_bar:  5925.70 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1290948707      | Original Mean y_bar:  4410.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1294481263      | Original Mean y_bar: 12404.55 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1297845917      | Original Mean y_bar: 11275.55 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1297920361      | Original Mean y_bar: 11179.95 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1298755699      | Original Mean y_bar:  9818.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1299261721      | Original Mean y_bar: 11109.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1302281843      | Original Mean y_bar:  9493.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1302301421      | Original Mean y_bar:  5808.25 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1302682933      | Original Mean y_bar: 17739.90 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1302864317      | Original Mean y_bar:  4426.85 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1308183059      | Original Mean y_bar:  6651.75 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1311237953      | Original Mean y_bar:  6196.10 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1321255081      | Original Mean y_bar:  4349.30 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1323169193      | Original Mean y_bar:  8349.50 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1323339907      | Original Mean y_bar:  9569.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1329373583      | Original Mean y_bar: 13453.10 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1333337153      | Original Mean y_bar: 22729.75 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1338192257      | Original Mean y_bar: 15062.65 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1338279209      | Original Mean y_bar: 10365.75 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1340849611      | Original Mean y_bar:  7128.35 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1342443341      | Original Mean y_bar:  5118.45 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1342478993      | Original Mean y_bar:  9820.50 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1343548541      | Original Mean y_bar: 16127.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1345507393      | Original Mean y_bar: 12188.30 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1346277743      | Original Mean y_bar: 12394.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1348761173      | Original Mean y_bar:  3859.45 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1349365687      | Original Mean y_bar:  6712.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1351304161      | Original Mean y_bar:  5508.55 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1351929307      | Original Mean y_bar:  7939.25 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1357041727      | Original Mean y_bar:  6940.05 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1363818913      | Original Mean y_bar: 10255.45 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1364352593      | Original Mean y_bar: 11936.05 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1365022517      | Original Mean y_bar: 11383.95 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1366333789      | Original Mean y_bar:  7170.25 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1368002149      | Original Mean y_bar: 13447.35 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1368393703      | Original Mean y_bar:  2004.35 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1368490597      | Original Mean y_bar: 11027.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1368490861      | Original Mean y_bar: 12492.15 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1369938473      | Original Mean y_bar:  2293.15 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1370751043      | Original Mean y_bar:  6408.45 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1371982933      | Original Mean y_bar: 24007.75 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1374450251      | Original Mean y_bar:  9039.90 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1374566147      | Original Mean y_bar:  9841.15 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1376064757      | Original Mean y_bar:  7576.90 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1376709617      | Original Mean y_bar: 16125.75 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1381255751      | Original Mean y_bar: 22840.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1381539437      | Original Mean y_bar:  6318.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1382846477      | Original Mean y_bar: 12028.85 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1383730801      | Original Mean y_bar: 10932.55 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1384493599      | Original Mean y_bar:  8981.45 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1385256913      | Original Mean y_bar: 20972.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1385775487      | Original Mean y_bar:  6110.85 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1387990103      | Original Mean y_bar:  6553.85 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1388775097      | Original Mean y_bar: 10245.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1390117831      | Original Mean y_bar: 10186.15 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1395388637      | Original Mean y_bar: 13215.90 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1399573187      | Original Mean y_bar:  8711.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1400408467      | Original Mean y_bar:  8040.30 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1403170421      | Original Mean y_bar: 11939.75 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1404263813      | Original Mean y_bar:  7967.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1404396397      | Original Mean y_bar:  6280.10 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1407116983      | Original Mean y_bar:  6352.25 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1412099981      | Original Mean y_bar:  8399.45 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1415499973      | Original Mean y_bar: 19548.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1421858959      | Original Mean y_bar: 11550.90 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1422661789      | Original Mean y_bar:  3984.85 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1429848997      | Original Mean y_bar: 20206.45 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1430565251      | Original Mean y_bar:  6934.15 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1432990147      | Original Mean y_bar:  9107.50 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1435553311      | Original Mean y_bar:  8292.05 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1436200679      | Original Mean y_bar:  6877.50 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1437484379      | Original Mean y_bar: 10578.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1439611861      | Original Mean y_bar: 10581.35 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1442338757      | Original Mean y_bar:  3359.50 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1442752811      | Original Mean y_bar:  4015.70 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1445440357      | Original Mean y_bar:  7812.35 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1451030071      | Original Mean y_bar:  9133.30 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1453143577      | Original Mean y_bar: 15434.50 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1464546667      | Original Mean y_bar:  7583.35 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1464924031      | Original Mean y_bar: 10328.65 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1466524673      | Original Mean y_bar: 11324.85 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1471896691      | Original Mean y_bar: 14372.05 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
