=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_13_digits.csv
Test Dimension (k): 1507 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000002
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 4367.326117
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 5.99 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 1472571096881   | Original Mean y_bar: 266626.30 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1478961672479   | Original Mean y_bar: 265043.35 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1482282861083   | Original Mean y_bar: 300826.40 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1482283365553   | Original Mean y_bar: 394923.80 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1491994345483   | Original Mean y_bar: 265762.60 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1495008388037   | Original Mean y_bar: 448467.15 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1496888638579   | Original Mean y_bar: 226898.30 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1498049649529   | Original Mean y_bar: 561577.40 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1499069919173   | Original Mean y_bar: 335905.95 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1499071400209   | Original Mean y_bar: 439022.05 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1501620364469   | Original Mean y_bar: 275095.80 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1515182349223   | Original Mean y_bar: 449138.90 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1515589575977   | Original Mean y_bar: 378816.65 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1518497756177   | Original Mean y_bar: 615255.95 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1522129978211   | Original Mean y_bar: 348618.85 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1522400187457   | Original Mean y_bar: 369674.65 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1529093922221   | Original Mean y_bar: 404557.50 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1530300960191   | Original Mean y_bar: 365564.95 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1531006026751   | Original Mean y_bar: 197523.90 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1533495322493   | Original Mean y_bar: 346031.35 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1534411786189   | Original Mean y_bar: 325927.50 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1535305599923   | Original Mean y_bar: 206879.15 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1536435295453   | Original Mean y_bar: 520177.10 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1537976974097   | Original Mean y_bar: 255082.00 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1541632657219   | Original Mean y_bar: 340204.90 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1546102827877   | Original Mean y_bar: 207431.45 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1546967182759   | Original Mean y_bar: 228362.60 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1578495162061   | Original Mean y_bar: 383190.30 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1580631557359   | Original Mean y_bar: 296550.45 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1585965249223   | Original Mean y_bar: 342464.50 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1592086892171   | Original Mean y_bar: 173647.45 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1595009114557   | Original Mean y_bar: 244933.50 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1595949610781   | Original Mean y_bar: 458092.80 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1595984606387   | Original Mean y_bar: 445867.80 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1597637155987   | Original Mean y_bar: 214305.45 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1600415093723   | Original Mean y_bar: 303639.75 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1605383865311   | Original Mean y_bar: 298113.95 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1605801625643   | Original Mean y_bar: 221357.00 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1607066173387   | Original Mean y_bar: 178435.80 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1608946319291   | Original Mean y_bar: 197128.90 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1613378687981   | Original Mean y_bar: 437922.15 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1625275636837   | Original Mean y_bar: 203770.80 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1626566298733   | Original Mean y_bar: 267836.35 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1627517718709   | Original Mean y_bar: 217649.80 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1630114070639   | Original Mean y_bar: 269164.80 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1631294405777   | Original Mean y_bar: 344511.65 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1632710124547   | Original Mean y_bar: 156995.45 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1633344959891   | Original Mean y_bar: 459695.75 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1635232236601   | Original Mean y_bar: 410031.60 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1639232788187   | Original Mean y_bar: 184284.90 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1653630432287   | Original Mean y_bar: 483399.20 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1653670666811   | Original Mean y_bar: 263146.25 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1660053165259   | Original Mean y_bar: 330909.95 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1666041957589   | Original Mean y_bar: 306702.80 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1666999846013   | Original Mean y_bar: 592619.45 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1671187695761   | Original Mean y_bar: 221467.10 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1671252421243   | Original Mean y_bar: 492940.70 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1674020417893   | Original Mean y_bar: 281365.35 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
