=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_5_digits.csv
Test Dimension (k): 5961 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.015736
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 22420.448284
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 19.53 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 12821           | Original Mean y_bar:    46.50 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12829           | Original Mean y_bar:   104.95 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12841           | Original Mean y_bar:    46.35 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12893           | Original Mean y_bar:    41.90 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12899           | Original Mean y_bar:    27.95 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12907           | Original Mean y_bar:    36.95 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12911           | Original Mean y_bar:    23.00 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12919           | Original Mean y_bar:    29.10 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12923           | Original Mean y_bar:    16.40 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12953           | Original Mean y_bar:    38.25 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12959           | Original Mean y_bar:    17.25 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12967           | Original Mean y_bar:    19.35 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13001           | Original Mean y_bar:    52.90 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13007           | Original Mean y_bar:    19.75 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13009           | Original Mean y_bar:    52.30 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13049           | Original Mean y_bar:    43.85 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13099           | Original Mean y_bar:    49.45 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13103           | Original Mean y_bar:    45.40 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13127           | Original Mean y_bar:    17.95 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13151           | Original Mean y_bar:    26.40 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13163           | Original Mean y_bar:    32.40 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13177           | Original Mean y_bar:    35.30 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13183           | Original Mean y_bar:    32.15 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13187           | Original Mean y_bar:    24.30 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13219           | Original Mean y_bar:    34.60 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13229           | Original Mean y_bar:    41.35 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13241           | Original Mean y_bar:    32.80 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13249           | Original Mean y_bar:    39.35 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13259           | Original Mean y_bar:    30.65 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13267           | Original Mean y_bar:    24.90 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 13291           | Original Mean y_bar:    10.60 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
